Module Position,Module Complexity,McCC,TCLOC,LOC,TLLOC,NL,Name,Path
334,46,8,0,26,112,7,"Decoder createDecoder(String cacheKey, Type type)",extra\GsonCompatibilityMode.java
65,21,10,0,42,42,4,"void enocde_(Object obj, JsonStream stream)",output\ReflectionObjectEncoder.java
68,6,5,6,28,23,2,int parse(JsonIterator iter),IterImplString.java
127,14,12,0,44,44,3,Any fillCacheUntil(Object target),any\ObjectLazyAny.java
59,24,10,7,30,26,5,int findStringEnd(JsonIterator iter),IterImplSkip.java
98,12,1,0,10,50,0,void enableDecoders(),extra\Base64FloatSupport.java
61,12,8,5,29,27,4,void skipArray(JsonIterator iter),IterImplForStreaming.java
158,12,10,0,43,43,3,Any fillCacheUntil(int target),any\ArrayLazyAny.java
287,11,13,0,42,42,4,Object read(),JsonIterator.java
213,10,9,1,35,35,2,"void writeFloat(JsonStream stream, float val)",output\StreamImplNumber.java
199,8,6,3,34,32,2,Slice readSlice(JsonIterator iter),IterImplForStreaming.java
171,5,15,0,21,19,1,boolean equals(Object o),extra\GsonCompatibilityMode.java
202,15,8,3,37,34,3,"String updateBindingSetOp(String rendered, Binding binding)",CodegenImplObjectStrict.java
154,5,4,0,25,25,2,"void writeRaw(String val, int remaining)",output\JsonStream.java
39,6,9,0,22,22,2,boolean toBoolean(),any\StringAny.java
362,6,4,0,14,14,3,"void skipFixedBytes(JsonIterator iter, int n)",IterImplForStreaming.java
2085,23,15,8,39,39,6,boolean similar(Object other),JSONObject.java
326,2,3,10,11,11,1,float getFloat(int index),JSONArray.java
2565,23,12,27,54,53,5,"Writer write(Writer writer, int indentFactor, int indent)",JSONObject.java
200,18,25,12,56,56,3,Object nextMeta(),XMLTokener.java
421,5,9,15,40,28,1,Object nextValue(),JSONTokener.java
106,20,11,11,44,40,4,JSONArray(JSONTokener x),JSONArray.java
268,22,28,12,74,68,3,Object nextToken(),XMLTokener.java
324,16,15,28,47,43,2,String valueToString(Object value),JSONWriter.java
2433,10,26,12,40,39,2,Object wrap(Object object),JSONObject.java
2267,9,9,17,30,22,2,Object stringToValue(String string),JSONObject.java
199,8,4,11,23,19,3,String unescape(String string),XML.java
394,21,10,10,70,59,6,String toString(JSONArray ja),JSONML.java
1522,36,17,13,40,33,7,void populateMap(Object bean),JSONObject.java
89,12,8,28,44,33,2,JSONObject toJSONObject(String string),Cookie.java
133,6,7,6,12,12,1,int dehexchar(char c),JSONTokener.java
1231,11,13,12,36,30,2,"BigInteger objectToBigInteger(Object val, BigInteger defaultValue)",JSONObject.java
